City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Bredasdorp,ZA,-34.5322,20.0403,64.4,77,44,3.44,scattered clouds
80,Bilhaur,IN,26.85,80.0833,65.75,47,0,2.71,clear sky
81,New Norfolk,AU,-42.7826,147.0587,81.0,23,0,1.99,clear sky
82,Leningradskiy,RU,69.3833,178.4167,-13.77,85,93,6.17,overcast clouds
83,Tasiilaq,GL,65.6145,-37.6368,17.6,73,32,33.38,light snow
84,Zabaykalsk,RU,49.6333,117.3167,-8.05,82,0,14.74,clear sky
85,Lagoa,PT,39.05,-27.9833,56.05,67,0,16.75,clear sky
86,Soligalich,RU,59.0778,42.2864,7.54,95,100,3.22,light snow
87,Thompson,CA,55.7435,-97.8558,15.8,92,1,5.75,clear sky
88,Jamestown,US,42.097,-79.2353,25.0,93,90,6.91,overcast clouds
89,Saint-Philippe,RE,-21.3585,55.7679,80.6,65,0,17.27,clear sky
90,Kaitangata,NZ,-46.2817,169.8464,59.0,65,77,8.99,broken clouds
91,Ambon,ID,-3.6954,128.1814,89.6,62,40,6.91,scattered clouds
92,Xam Nua,LA,20.4197,104.0439,47.97,75,99,4.07,overcast clouds
93,Sao Miguel,BR,-5.4667,-35.3667,78.8,78,20,8.05,few clouds
94,Fukue,JP,32.6881,128.8419,30.2,86,75,17.27,light snow
95,San Juan De Colon,VE,8.0313,-72.2605,66.33,84,12,3.24,light rain
96,Tuntum,BR,-5.2581,-44.6489,73.47,93,100,3.09,overcast clouds
97,Ikongo,MG,-21.8833,47.4333,76.53,76,23,0.74,few clouds
98,Grindavik,IS,63.8424,-22.4338,42.8,93,90,27.63,light rain
99,Tornio,FI,65.8481,24.1466,19.4,100,90,4.61,light snow
100,Guaymas,MX,27.9333,-110.9,60.01,39,5,1.99,clear sky
101,Vodnyy,RU,63.5046,53.4095,-10.43,90,35,4.65,scattered clouds
102,Qasigiannguit,GL,68.8193,-51.1922,10.4,72,75,5.75,broken clouds
103,Ponta Do Sol,PT,32.6667,-17.1,51.01,77,100,13.0,light rain
104,Marfino,RU,55.7028,37.3822,24.8,93,75,11.18,light snow
105,Lebu,CL,-37.6167,-73.65,54.64,77,49,20.71,scattered clouds
106,Tabas,IR,33.5959,56.9244,26.6,46,0,2.3,clear sky
107,Shebunino,RU,46.4339,141.8603,11.91,83,100,10.69,light snow
108,Port Elizabeth,ZA,-33.918,25.5701,69.8,88,20,27.63,few clouds
109,Ancud,CL,-41.8697,-73.8203,48.99,76,0,5.75,clear sky
110,Midland,US,31.9974,-102.0779,42.8,45,1,8.05,clear sky
111,Anadyr,RU,64.75,177.4833,-18.4,76,0,4.47,clear sky
112,Sao Filipe,CV,14.8961,-24.4956,73.4,79,0,7.07,clear sky
113,Todos Santos,MX,23.45,-110.2167,66.0,80,0,0.72,clear sky
114,Barrow,US,71.2906,-156.7887,-9.4,77,90,1.79,overcast clouds
115,Ribeira Grande,PT,38.5167,-28.7,57.0,67,6,17.47,clear sky
116,Korla,CN,41.7597,86.1469,16.75,78,100,1.16,overcast clouds
117,Aksarka,RU,66.5606,67.7975,-15.97,88,86,14.67,overcast clouds
118,Pangnirtung,CA,66.1451,-65.7125,-12.08,61,4,0.63,clear sky
119,Kondagaon,IN,19.6,81.6667,77.54,38,42,4.59,scattered clouds
120,Ketchikan,US,55.3422,-131.6461,37.08,86,100,9.22,overcast clouds
121,Yumen,CN,40.2833,97.2,7.74,67,7,17.94,clear sky
